date,open,high,low,close,volume,rsi
2021-02-11,50.34,50.43,49.599998,50.09,13276000.0,46.606288827265836
2021-02-10,50.779999,50.84,49.759998,49.970001,9656600.0,46.40313959000999
2021-02-09,50.16,50.639999,50.040001,50.41,8058100.0,47.04634714246661
2021-02-08,50.099998,50.529999,49.799999,50.060001,8559100.0,46.46790597825888
2021-02-05,49.950001,50.099998,49.650002,49.73,9809400.0,45.92207546391644
2021-02-04,50.310001,50.450001,50.040001,50.360001,7317700.0,46.81513815577674
2021-02-03,50.16,50.34,49.73,50.0,9069700.0,46.22954949557163
2021-02-02,50.52,50.630001,50.02,50.060001,11349800.0,46.31283834793079
2021-02-01,51.259998,51.299999,50.209999,50.400002,14590900.0,46.78087878258677
2021-01-29,51.73,52.209999,50.509998,50.599998,12692500.0,47.055007804555316
2021-01-28,52.119999,52.939999,51.990002,52.040001,8374800.0,49.0845574705335
2021-01-27,53.369999,53.43,52.029999,52.099998,14550200.0,49.17115319332296
2021-01-26,54.52,54.650002,54.189999,54.439999,11614400.0,52.72659760380114
2021-01-25,53.73,54.209999,53.59,54.009998,13742800.0,52.102902704964876
2021-01-22,52.73,53.540001,52.619999,53.25,13372700.0,50.98276029088216
2021-01-21,52.560001,52.740002,52.16,52.549999,16054800.0,49.92572122815234
2021-01-20,52.650002,52.650002,51.91,52.240002,13626200.0,49.45265115612535
2021-01-19,52.52,52.66,52.209999,52.57,13568700.0,49.94489668814313
2021-01-15,51.290001,51.560001,51.130001,51.34,9524000.0,48.05627409238973
2021-01-14,51.470001,51.799999,51.169998,51.290001,11521700.0,47.97808152626925
2021-01-13,50.740002,51.25,50.669998,50.880001,11452800.0,47.341061505130206
2021-01-12,50.639999,50.650002,50.099998,50.290001,9628800.0,46.41572800941296
2021-01-11,50.580002,51.09,50.41,50.560001,11680300.0,46.7844213329953
2021-01-08,50.59,50.880001,50.32,50.860001,10996000.0,47.192606896977594
2021-01-07,50.549999,50.779999,50.060001,50.189999,13562600.0,46.1645777624644
2021-01-06,50.84,51.439999,50.66,50.91,12754900.0,47.13084895726799
2021-01-05,50.400002,50.830002,50.02,50.700001,13361900.0,46.8126426521322
2021-01-04,50.919998,51.049999,49.889999,50.52,15665800.0,46.54237137080618
2020-12-31,50.0,50.09,49.119999,49.990002,10610000.0,45.746868618802516
2020-12-30,50.459999,50.549999,50.040001,50.18,14349100.0,45.98728866494742
